                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     76,                 1.4601,                 1.2871,                 1.5522,                0.30135,                0.32764,                0.26011,                0.08337,                 2.6311,                 2.5239,                 2.6499,             0.00042925,             0.00042925,             0.00042925
                     77,                 1.4231,                 1.3124,                  1.555,                0.42701,                0.26991,                0.24562,                0.08073,                 2.5292,                 2.4271,                 2.5787,             0.00041275,             0.00041275,             0.00041275
                     78,                 1.3817,                 1.2226,                 1.5222,                0.31079,                0.36562,                 0.2992,                0.11346,                 2.5156,                 2.5602,                 2.5628,             0.00039625,             0.00039625,             0.00039625
                     79,                 1.3842,                 1.2368,                 1.5026,                0.33257,                0.37844,                0.28879,                0.11049,                   2.57,                 2.4619,                 2.5727,             0.00037974,             0.00037974,             0.00037974
                     80,                 1.3453,                 1.2015,                  1.484,                0.49633,                0.24739,                0.29402,                 0.0971,                 2.6946,                 2.6107,                   2.73,             0.00036324,             0.00036324,             0.00036324
                     81,                 1.3468,                  1.178,                 1.4963,                0.54477,                0.24122,                 0.2737,                 0.1009,                  2.688,                 2.6636,                 2.7203,             0.00034674,             0.00034674,             0.00034674
                     82,                 1.3627,                  1.189,                 1.5028,                0.33092,                0.34987,                0.29136,                0.11473,                 2.5255,                 2.3683,                 2.5308,             0.00033023,             0.00033023,             0.00033023
                     83,                 1.3109,                 1.1439,                 1.4339,                0.31073,                0.28965,                0.27844,                0.10112,                 2.6521,                 2.4182,                 2.6946,             0.00031373,             0.00031373,             0.00031373
                     84,                 1.3477,                 1.1579,                  1.481,                0.41007,                0.30294,                 0.2982,                 0.1157,                 2.4884,                 2.4712,                 2.5504,             0.00029723,             0.00029723,             0.00029723
                     85,                 1.3155,                 1.1254,                 1.4663,                0.25458,                0.35889,                0.28091,                0.10594,                 2.6106,                 2.4399,                 2.6189,             0.00028072,             0.00028072,             0.00028072
                     86,                 1.3105,                 1.1299,                 1.4629,                0.43279,                 0.3661,                0.34382,                0.12549,                 2.5631,                 2.3784,                 2.6085,             0.00026422,             0.00026422,             0.00026422
